feature,importance
duration_min,0.595078194540873
description_length,0.28693242022456866
title_length,0.03530641206711749
month,0.02916297656537494
day_of_week_encoded,0.019890354370076413
is_shorts,0.015362737446804381
monetary_value,0.00792493863017686
is_weekend,0.007321117845660942
has_money,0.0030208483093473355
